Method,Project,repeated_times,Accuracy,Precision,Recall,F1,AUC,Average Score,Time,CV_list(AUC)
Baseline,pytorch,30,0.6406181015452538,0.613395432339462,0.7572401012890487,0.566318880205258,0.7572401012890487,0.6669625233336143,0.4557358980178833,"[np.float64(0.7692147034252297), np.float64(0.7391114982578397), np.float64(0.7303435114503818), np.float64(0.7254578754578755), np.float64(0.7249015748031495), np.float64(0.7695094760312152), np.float64(0.7504389815627743), np.float64(0.6939792663476874), np.float64(0.7263993316624896), np.float64(0.8161764705882353), np.float64(0.7947761194029851), np.float64(0.7909722222222222), np.float64(0.7286259541984732), np.float64(0.7647058823529411), np.float64(0.7036645525017619), np.float64(0.7316576086956521), np.float64(0.7527151211361738), np.float64(0.7851049868766403), np.float64(0.7789363920750783), np.float64(0.7729741019214703), np.float64(0.7961538461538462), np.float64(0.7608058608058608), np.float64(0.7604916067146282), np.float64(0.8138686131386861), np.float64(0.7869963369963371), np.float64(0.7695238095238095), np.float64(0.7091535433070865), np.float64(0.7729741019214703), np.float64(0.763425925925926), np.float64(0.7341437632135307)]"
Baseline,tensorflow,30,0.5551454138702461,0.6348912520794088,0.710618869648387,0.5361699639722113,0.7106188696483872,0.6294888738437281,1.611764144897461,"[np.float64(0.7328469884025439), np.float64(0.7345931997571342), np.float64(0.70875), np.float64(0.6995833333333333), np.float64(0.6961466517022072), np.float64(0.7179032258064516), np.float64(0.7336404914529915), np.float64(0.73), np.float64(0.7360413481837373), np.float64(0.7247356774034914), np.float64(0.6863803002005948), np.float64(0.6945488721804511), np.float64(0.6971709206612714), np.float64(0.7077194438680223), np.float64(0.7078070695939647), np.float64(0.6997126436781609), np.float64(0.6914845173041895), np.float64(0.714048557792073), np.float64(0.7217610845956977), np.float64(0.7267962437213364), np.float64(0.697467071935157), np.float64(0.6852137081247593), np.float64(0.7087339743589743), np.float64(0.67675), np.float64(0.7318919705903764), np.float64(0.711381074168798), np.float64(0.7515833333333333), np.float64(0.7301116673084328), np.float64(0.669311445508436), np.float64(0.6944512744856979)]"
Baseline,keras,30,0.5634328358208955,0.630227718731005,0.6930823640375823,0.5446052206726558,0.6930823640375823,0.6248861006599442,0.43148063818613686,"[np.float64(0.6779162339910004), np.float64(0.7629870129870129), np.float64(0.656140350877193), np.float64(0.7260550458715596), np.float64(0.6939449541284404), np.float64(0.7012807199723088), np.float64(0.6844362745098039), np.float64(0.6441707717569787), np.float64(0.7246212121212122), np.float64(0.7028301886792453), np.float64(0.7199723087573555), np.float64(0.6647703329119259), np.float64(0.7184466019417476), np.float64(0.6427732079905992), np.float64(0.7132784958871916), np.float64(0.7132749326145553), np.float64(0.6467146714671468), np.float64(0.709557383470427), np.float64(0.7059536171685705), np.float64(0.6968807339449541), np.float64(0.7022792022792024), np.float64(0.7118589743589744), np.float64(0.6756410256410257), np.float64(0.7106265143648322), np.float64(0.6661740558292282), np.float64(0.7168806764797996), np.float64(0.7213718820861678), np.float64(0.6640706126687435), np.float64(0.6282051282051282), np.float64(0.6893577981651376)]"
Baseline,incubator-mxnet,30,0.5993589743589745,0.6075582518063971,0.7463047125970756,0.5363960690371622,0.7463047125970756,0.647184544079337,0.38444907665252687,"[np.float64(0.7252747252747254), np.float64(0.75), np.float64(0.7692307692307692), np.float64(0.7253968253968254), np.float64(0.7355072463768115), np.float64(0.7250936329588014), np.float64(0.8031914893617021), np.float64(0.7444444444444445), np.float64(0.7528409090909091), np.float64(0.7802197802197802), np.float64(0.7666666666666666), np.float64(0.7111302352266207), np.float64(0.765625), np.float64(0.7362637362637364), np.float64(0.7747252747252747), np.float64(0.7752808988764045), np.float64(0.7172312223858616), np.float64(0.7700374531835206), np.float64(0.6703296703296704), np.float64(0.7864583333333334), np.float64(0.7159574468085106), np.float64(0.7212765957446808), np.float64(0.782608695652174), np.float64(0.8010752688172043), np.float64(0.7717391304347826), np.float64(0.6666666666666667), np.float64(0.7252747252747254), np.float64(0.7475655430711611), np.float64(0.7556207233626588), np.float64(0.7164082687338501)]"
Baseline,caffe,30,0.5385057471264367,0.564401890242322,0.6538785536994604,0.4629714352393971,0.6538785536994604,0.5747272360014153,0.1669455369313558,"[np.float64(0.7403846153846154), np.float64(0.6547169811320754), np.float64(0.6075471698113208), np.float64(0.30092592592592593), np.float64(0.7324929971988796), np.float64(0.6378205128205128), np.float64(0.5583333333333332), np.float64(0.6132075471698113), np.float64(0.6022408963585435), np.float64(0.7051282051282052), np.float64(0.6858974358974359), np.float64(0.6736694677871149), np.float64(0.6638655462184874), np.float64(0.75), np.float64(0.7735849056603774), np.float64(0.7307692307692308), np.float64(0.5448717948717949), np.float64(0.6775), np.float64(0.6121794871794871), np.float64(0.5981132075471698), np.float64(0.719954648526077), np.float64(0.7647058823529411), np.float64(0.7395833333333333), np.float64(0.5370370370370371), np.float64(0.641025641025641), np.float64(0.5897435897435899), np.float64(0.6641509433962265), np.float64(0.7636363636363637), np.float64(0.7030812324929973), np.float64(0.6301886792452831)]"
SVM + TF-IDF,pytorch,30,0.8920529801324503,0.7596026217503605,0.7200594507147037,0.7320039360100773,0.7200594507147037,0.764755687864459,2.7302377065022787,"[np.float64(0.8107769423558897), np.float64(0.7215447154471545), np.float64(0.6847328244274808), np.float64(0.715018315018315), np.float64(0.6768372703412074), np.float64(0.6633221850613155), np.float64(0.767998244073749), np.float64(0.7366427432216905), np.float64(0.6328320802005012), np.float64(0.7556372549019607), np.float64(0.8819139596136962), np.float64(0.6303240740740741), np.float64(0.7444656488549618), np.float64(0.7372549019607841), np.float64(0.7383720930232558), np.float64(0.8282948369565217), np.float64(0.7679615705931495), np.float64(0.7134186351706037), np.float64(0.6676225234619395), np.float64(0.6681286549707602), np.float64(0.6789377289377289), np.float64(0.6712454212454212), np.float64(0.8426258992805755), np.float64(0.7565172054223148), np.float64(0.675824175824176), np.float64(0.6241269841269842), np.float64(0.6886482939632547), np.float64(0.7161654135338346), np.float64(0.6928240740740741), np.float64(0.711768851303735)]"
SVM + TF-IDF,tensorflow,30,0.8951901565995526,0.8538044063678863,0.7822839031523061,0.8085303545637849,0.7822839031523061,0.8244185447671672,17.04056615034739,"[np.float64(0.7331088664421999), np.float64(0.7418791742562235), np.float64(0.8069166666666667), np.float64(0.8173333333333332), np.float64(0.7301907968574635), np.float64(0.8398387096774194), np.float64(0.7449919871794871), np.float64(0.7756666666666667), np.float64(0.7878721700516853), np.float64(0.8087861650684369), np.float64(0.8329874801134399), np.float64(0.750563909774436), np.float64(0.7739849207996127), np.float64(0.7737428235456872), np.float64(0.7992286174451132), np.float64(0.8153735632183908), np.float64(0.800470552519733), np.float64(0.7885107560351386), np.float64(0.7962232828387632), np.float64(0.7661789328092015), np.float64(0.7797365754812564), np.float64(0.7646515209857527), np.float64(0.7776442307692308), np.float64(0.7925), np.float64(0.7945694110795662), np.float64(0.7530051150895141), np.float64(0.7900833333333332), np.float64(0.7937235271467077), np.float64(0.7769721842225263), np.float64(0.7617818211621998)]"
SVM + TF-IDF,keras,30,0.8718905472636815,0.8115735892725344,0.7754900223929456,0.7878038664164976,0.7754900223929456,0.8044496095477209,2.963236935933431,"[np.float64(0.856178608515057), np.float64(0.8506493506493507), np.float64(0.8061403508771929), np.float64(0.7724770642201835), np.float64(0.76), np.float64(0.7774316372447214), np.float64(0.8670343137254902), np.float64(0.7579638752052545), np.float64(0.8640151515151514), np.float64(0.8194070080862534), np.float64(0.8054690204222915), np.float64(0.7071217867678045), np.float64(0.7804572502348888), np.float64(0.790050920485703), np.float64(0.8035644339992166), np.float64(0.8025606469002695), np.float64(0.803930393039304), np.float64(0.7293380336858598), np.float64(0.7267220491519556), np.float64(0.7324770642201835), np.float64(0.7606837606837606), np.float64(0.7948717948717948), np.float64(0.7663461538461539), np.float64(0.7590861889927311), np.float64(0.7425287356321839), np.float64(0.7709051049170059), np.float64(0.6967120181405896), np.float64(0.7774316372447214), np.float64(0.7352564102564103), np.float64(0.6478899082568806)]"
SVM + TF-IDF,incubator-mxnet,30,0.8926282051282051,0.7653269309314749,0.6974448593608205,0.7202435906567367,0.6974448593608205,0.7546176890876115,1.3512162764867146,"[np.float64(0.7857142857142858), np.float64(0.5965909090909091), np.float64(0.6813186813186813), np.float64(0.6976190476190476), np.float64(0.733695652173913), np.float64(0.8108614232209738), np.float64(0.6893617021276596), np.float64(0.6698412698412699), np.float64(0.7272727272727273), np.float64(0.7527472527472527), np.float64(0.7031746031746031), np.float64(0.6425702811244979), np.float64(0.5260416666666666), np.float64(0.7142857142857144), np.float64(0.8186813186813187), np.float64(0.5775280898876404), np.float64(0.7754050073637702), np.float64(0.7277153558052435), np.float64(0.6703296703296704), np.float64(0.75), np.float64(0.6393617021276595), np.float64(0.6680851063829787), np.float64(0.5507246376811595), np.float64(0.6656891495601174), np.float64(0.7391304347826088), np.float64(0.7881136950904394), np.float64(0.8681318681318682), np.float64(0.649812734082397), np.float64(0.6950146627565983), np.float64(0.6085271317829457)]"
SVM + TF-IDF,caffe,30,0.910919540229885,0.7865847326104832,0.6654964516461466,0.6932068186494841,0.6654964516461466,0.744340798956429,0.6469521919886271,"[np.float64(0.6666666666666666), np.float64(0.6811320754716981), np.float64(0.6811320754716981), np.float64(0.4814814814814815), np.float64(0.5), np.float64(0.8333333333333333), np.float64(0.7), np.float64(0.6811320754716981), np.float64(0.6330532212885153), np.float64(0.6570512820512819), np.float64(0.6570512820512819), np.float64(0.6946778711484594), np.float64(0.6946778711484594), np.float64(0.6775), np.float64(0.690566037735849), np.float64(0.6474358974358974), np.float64(0.5737179487179487), np.float64(0.615), np.float64(0.814102564102564), np.float64(0.9), np.float64(0.6111111111111112), np.float64(0.6848739495798319), np.float64(0.6395833333333334), np.float64(0.49074074074074076), np.float64(0.5833333333333334), np.float64(0.7403846153846153), np.float64(0.6), np.float64(0.6303030303030303), np.float64(0.7142857142857143), np.float64(0.7905660377358491)]"
